"Frequency";"S11-Gain (dB)";"S11-Phase (°)";"S11-S-Real";"S11-S-Imaginary"
"1.55e+08";"-5.724949294996748";"-29.86090594152681";"0.4486319208546923";"-0.2575676286482803"
"155500000";"-5.638227272436104";"-30.099612534733886";"0.4520458265890501";"-0.262037716038917"
"1.56e+08";"-5.575049106636074";"-30.533683448207874";"0.45333310969435325";"-0.2673927137056185"
"156500000";"-5.404653984881184";"-31.841823101794233";"0.45596833003184806";"-0.2831733380518174"
"1.57e+08";"-5.218975113642883";"-31.50329223636321";"0.46752166149833313";"-0.2865345959901237"
"157500000";"-4.966781080019818";"-34.57700472550486";"0.46478588138693894";"-0.3203590667599188"
"1.58e+08";"-5.076371472781053";"-32.67509854281129";"0.4692045645971972";"-0.300936088711409"
"158500000";"-4.937725751759637";"-33.4590176982367";"0.47252604480102";"-0.3122723402905763"
"1.59e+08";"-5.03925608284786";"-33.089462477312985";"0.46901579935612703";"-0.30562465223505464"
"159500000";"-4.7663409868175375";"-33.42924731879532";"0.4821076593198029";"-0.31824464492357035"
"1.6e+08";"-4.6728857940887085";"-33.659245041488845";"0.4860276218257256";"-0.32364088485209536"
"160500000";"-4.777342410136275";"-34.594428257610325";"0.4749345908002546";"-0.32756726836531197"
"1.61e+08";"-4.432690807934607";"-34.6741275109284";"0.49368405486997474";"-0.3415133355450614"
"161500000";"-4.360019716714195";"-34.87382098830323";"0.49662852250222195";"-0.3461156189538698"
"1.62e+08";"-4.3563342139970604";"-35.84201176375512";"0.4909174517340261";"-0.35460832315998037"
"162500000";"-4.2912852312142515";"-35.37191134176266";"0.4975224343120223";"-0.3532038306962713"
"1.63e+08";"-4.094820218462515";"-36.65754082385937";"0.5006699793602114";"-0.372611061777454"
"163500000";"-4.127119838966016";"-35.92160417684778";"0.5035385967917066";"-0.36479059067168484"
"1.64e+08";"-4.164791620864";"-37.21502383169559";"0.4930330690463428";"-0.37443627384106515"
"164500000";"-4.19203805228224";"-37.67679456440776";"0.48846469866785824";"-0.3772125095476557"
"1.65e+08";"-3.9641175075962614";"-38.76742212848054";"0.49399025749005027";"-0.39671612339383533"
"165500000";"-3.867364983254987";"-38.81535701330243";"0.49918780478092417";"-0.4015776379000047"
"1.66e+08";"-3.8867795392860884";"-39.162761142981175";"0.49563466610371";"-0.4036936473593854"
"166500000";"-4.02680046842659";"-40.80809431053179";"0.4761020513790601";"-0.41107765483944175"
"1.67e+08";"-3.8164383627253313";"-41.073349808866794";"0.48581845868269563";"-0.42340867976694285"
"167500000";"-3.883597950274771";"-42.64171164993652";"0.47039668987278155";"-0.4331843703946166"
"1.68e+08";"-3.9680667712543456";"-42.20845873660881";"0.4690748886150058";"-0.42545734096453747"
"168500000";"-3.99056880226748";"-44.16008974384948";"0.4531380630028518";"-0.4400437941018433"
"1.69e+08";"-3.8887131286494347";"-44.285721552734294";"0.45750573364216757";"-0.44623861141662186"
"169500000";"-3.8135486008918713";"-45.608496135387824";"0.4509681979862752";"-0.46065018722663637"
"1.7e+08";"-3.908530635804504";"-46.177148644968746";"0.4415195701432953";"-0.46004492720770934"
"170500000";"-3.855124359115261";"-46.51862564333828";"0.4414760667632947";"-0.4655216893092632"
"1.71e+08";"-3.894922043175711";"-47.21570852810934";"0.4337876913879667";"-0.46870579431826204"
"171500000";"-4.038486785340038";"-48.23112251888163";"0.41843979679085996";"-0.46851136961598416"
"1.72e+08";"-4.002120137853037";"-49.58383963135991";"0.408971682676648";"-0.4802655857764602"
"172500000";"-3.894033032159627";"-50.16883878297581";"0.40910623017456854";"-0.4904818784300696"
"1.73e+08";"-4.082694519048272";"-50.54226300617602";"0.3971795632637225";"-0.4825420953548708"
"173500000";"-3.8841560994446356";"-52.205026490475994";"0.39186609727919797";"-0.5052822535268245"
"1.74e+08";"-4.014646412648871";"-52.11112122988202";"0.3868382632973615";"-0.49711466386641195"
"174500000";"-4.022608272969144";"-53.1802195350662";"0.3771497863270871";"-0.5037838315098889"
"1.75e+08";"-3.101498622444639";"-53.3775008553178";"0.41741177769121846";"-0.5615845867838718"
"175500000";"-4.008070033498839";"-54.4660552669415";"0.3663625098013017";"-0.5129781755005115"
"1.76e+08";"-3.8636931913985273";"-55.38822628814483";"0.36406046850932505";"-0.5275037515498312"
"176500000";"-4.17811205703735";"-58.26300822430564";"0.3251601799520524";"-0.5257196983050869"
"1.77e+08";"-4.180545486629811";"-58.206785936933564";"0.32558466492122545";"-0.5252532022731455"
"177500000";"-4.2164879487890685";"-57.09239075156968";"0.3343521175434797";"-0.5166792126796731"
"1.78e+08";"-4.433635552449669";"-58.45026662166377";"0.3140638054300126";"-0.5115084055753576"
"178500000";"-3.9554652413313516";"-60.04608530581504";"0.31665849171568644";"-0.5494888226308609"
"1.79e+08";"-4.008053548817174";"-60.35459195675955";"0.3118017018894882";"-0.5478588359556683"
"179500000";"-4.303553729298772";"-60.571791033526495";"0.29936285909367527";"-0.5306724164023926"
"1.8e+08";"-4.083720223313457";"-59.239676059485944";"0.31960636169152656";"-0.5369897701941804"
"180500000";"-4.367874627902334";"-62.7811748438951";"0.27662603842753475";"-0.5378213335995454"
"1.81e+08";"-4.276226539025256";"-61.96158673379641";"0.2873062859437392";"-0.5394716889774092"
"181500000";"-4.09199253720679";"-62.81240901260989";"0.2852505941827196";"-0.5553334326091365"
"1.82e+08";"-4.048927331114525";"-63.805992614314775";"0.27694770730179863";"-0.5629806908433359"
"182500000";"-3.802855014567225";"-62.76866682966554";"0.29534411258995097";"-0.5739052903920745"
"1.83e+08";"-4.0432359078646405";"-62.92895224640393";"0.2857197634478879";"-0.5590417873719736"
"183500000";"-3.641348874098199";"-63.83153933085751";"0.2899898794749459";"-0.5901570870018089"
"1.84e+08";"-3.708341118266123";"-64.43418879475544";"0.2815863455211192";"-0.5886171427366331"
"184500000";"-3.482995333001113";"-64.54278868503964";"0.287841859781215";"-0.6046346502583093"
"1.85e+08";"-3.3954630668564305";"-65.84586744380174";"0.27679276927644614";"-0.6172128540092382"
"185500000";"-3.5041323465408087";"-65.91465563385101";"0.2726193863863449";"-0.6098667407463096"
"1.86e+08";"-3.501696596309049";"-67.31708101412644";"0.2576837943194291";"-0.6165291468117178"
"186500000";"-3.123397436855848";"-67.66473093154366";"0.2652424275774407";"-0.6455956209609952"
"1.87e+08";"-3.3161829671880874";"-67.3234534373083";"0.26317655845981835";"-0.6298679052721438"
"187500000";"-3.079949204223709";"-70.25021929708889";"0.2370323315868914";"-0.660197670755199"
"1.88e+08";"-3.088362779140306";"-69.68919551509605";"0.2432495933669947";"-0.6572081944092676"
"188500000";"-2.82288926408485";"-70.07301423135188";"0.2462541967694236";"-0.6792699291499431"
"1.89e+08";"-2.7610276946938357";"-69.97660169122459";"0.24916513492385545";"-0.6837067040127816"
"189500000";"-2.903680040157636";"-71.23273444444968";"0.2303034992531295";"-0.6777811503601266"
"1.9e+08";"-2.798073492712068";"-72.0690465249673";"0.22308205236826836";"-0.6894017055457031"
"190500000";"-2.6075083371826118";"-73.26703745148609";"0.21324733574979238";"-0.7093075426287616"
"1.91e+08";"-2.8311572308022854";"-71.23836206946817";"0.23216733636392956";"-0.6834867802834015"
"191500000";"-2.552544848888724";"-72.89713406662898";"0.21920490040185867";"-0.7124098675503673"
"1.92e+08";"-2.3552637079009244";"-72.47810578478214";"0.22956443756897585";"-0.7271164261460412"
"192500000";"-2.608054403862598";"-71.78693050429074";"0.23148295219658765";"-0.7035185039666951"
"1.93e+08";"-2.3026459469370106";"-72.66967121450278";"0.22851219005911919";"-0.7323026625365675"
"193500000";"-2.590252088088408";"-72.93573002978728";"0.21777748036444064";"-0.7094707143436093"
"1.94e+08";"-2.3030152895898732";"-74.15381201957518";"0.20945980490653476";"-0.7379441411998738"
"194500000";"-2.0676295901729667";"-73.00072107454488";"0.2304283885664145";"-0.7537312247447693"
"1.95e+08";"-2.2819279792163996";"-72.50731530503455";"0.23113701700159908";"-0.7333994530487177"
"195500000";"-2.153260890000304";"-73.45879950695809";"0.222193657752498";"-0.7481372722384401"
"1.96e+08";"-2.1278694127966675";"-72.55086967516611";"0.23470563473570508";"-0.7467021768254894"
"196500000";"-2.0925017407988085";"-73.32402781276822";"0.2255248941141182";"-0.7528605569642027"
"1.97e+08";"-1.9548346259072036";"-73.2484446970302";"0.2301366516750112";"-0.7645851681730809"
"197500000";"-1.9749686074168482";"-73.87183482303986";"0.22129079758312728";"-0.7652678426869761"
"1.98e+08";"-2.106641120745799";"-73.515352279438";"0.22264692556892748";"-0.752383670444446"
"198500000";"-2.0918928596999087";"-74.08116508354675";"0.2155718993416684";"-0.7558279264604749"
"1.99e+08";"-1.8618254519111486";"-73.17385860090529";"0.2336200480269368";"-0.7725129309766292"
"199500000";"-1.7986070477930025";"-74.45773305037633";"0.2178321938298857";"-0.7832333800007965"
"2e+08";"-2.213923453184679";"-74.2314095451291";"0.2106093870866402";"-0.7458381616343331"
