Phi[deg],Theta[deg],dB10normalize(GainTotal)
117,90,-1.2025
118,90,-1.29207
119,90,-1.38502
120,90,-1.48136
121,90,-1.58112
122,90,-1.6843
123,90,-1.79094
124,90,-1.90106
125,90,-2.01467
126,90,-2.1318
127,90,-2.25248
128,90,-2.37674
129,90,-2.50459
130,90,-2.63608
131,90,-2.77123
132,90,-2.91007
133,90,-3.05265
134,90,-3.19898
135,90,-3.34911
136,90,-3.50308
137,90,-3.66092
138,90,-3.82268
139,90,-3.98839
140,90,-4.15809
141,90,-4.33183
142,90,-4.50964
143,90,-4.69156
144,90,-4.87763
145,90,-5.06789
146,90,-5.26236
147,90,-5.46108
148,90,-5.66406
149,90,-5.87131
150,90,-6.08283
151,90,-6.29862
152,90,-6.51864
153,90,-6.74285
154,90,-6.97116
155,90,-7.20348
156,90,-7.43966
157,90,-7.67952
158,90,-7.92282
159,90,-8.16927
160,90,-8.41847
161,90,-8.66997
162,90,-8.92321
163,90,-9.1775
164,90,-9.43202
165,90,-9.6858
166,90,-9.93768
167,90,-10.1863
168,90,-10.4302
169,90,-10.6676
170,90,-10.8965
171,90,-11.1147
172,90,-11.3199
173,90,-11.5096
174,90,-11.6812
175,90,-11.832
176,90,-11.9598
177,90,-12.0621
178,90,-12.137
179,90,-12.183
180,90,-12.1993
