"Freq [GHz]","dB(S(1,1)) [] - largo_plano_tierra='30mm' radio_circulo='17mm'"
2,-17.6100938509546
2.00222222222222,-17.7572704720986
2.00444444444444,-17.9070532396397
2.00666666666667,-18.0594599387175
2.00888888888889,-18.2144924383608
2.01111111111111,-18.3721346370898
2.01333333333333,-18.53235063434
2.01555555555556,-18.6950831803777
2.01777777777778,-18.8602524309193
2.02,-19.0277550014364
2.02222222222222,-19.1974632837115
2.02444444444444,-19.3692249575735
2.02666666666667,-19.5428626076056
2.02888888888889,-19.7181733408977
2.03111111111111,-19.8949282992446
2.03333333333333,-20.0728719678595
2.03555555555556,-20.2517212016763
2.03777777777778,-20.4311639177893
2.04,-20.610857436164
2.04222222222222,-20.7904264881286
2.04444444444444,-20.9694609513277
2.04666666666667,-21.1475134092842
2.04888888888889,-21.3240966725148
2.05111111111111,-21.4986814355825
2.05333333333333,-21.6706942799563
2.05555555555556,-21.839516265125
2.05777777777778,-22.0044823785241
2.06,-22.1648821359526
2.06222222222222,-22.3199616346849
2.06444444444444,-22.4689273567396
2.06666666666667,-22.6109519942872
2.06888888888889,-22.7451825173027
2.07111111111111,-22.8707506204015
2.07333333333333,-22.9867855684884
2.07555555555556,-23.092429310073
2.07777777777778,-23.1868535485103
2.08,-23.2692782666899
2.08222222222222,-23.3389910076208
2.08444444444444,-23.395366044844
2.08666666666667,-23.4378824579141
2.08888888888889,-23.466140083023
2.09111111111111,-23.479872354534
2.09333333333333,-23.4789551962126
2.09555555555556,-23.4634113539851
2.09777777777778,-23.4334098635664
2.1,-23.3892606832199
2.10222222222222,-23.3314048550046
2.10444444444444,-23.2604008485526
2.10666666666667,-23.1769079585415
2.10888888888889,-23.0816677516626
2.11111111111111,-22.9754845865419
2.11333333333333,-22.8592061696365
2.11555555555556,-22.7337049806094
2.11777777777778,-22.5998612265037
2.12,-22.458547790375
2.12222222222222,-22.3106174490533
2.12444444444444,-22.1568924631605
2.12666666666667,-21.9981565009396
2.12888888888889,-21.8351487504752
2.13111111111111,-21.6685600023694
2.13333333333333,-21.4990304433979
2.13555555555556,-21.3271488857505
2.13777777777778,-21.1534531601098
2.14,-20.9784314181588
2.14222222222222,-20.8025241159807
2.14444444444444,-20.6261264800339
2.14666666666667,-20.4495912887936
2.14888888888889,-20.2732318335396
2.15111111111111,-20.0973249497329
2.15333333333333,-19.9221140351874
2.15555555555556,-19.7478119924962
2.15777777777778,-19.5746040509375
2.16,-19.4026504375756
2.16222222222222,-19.2320888788227
2.16444444444444,-19.0630369227326
2.16666666666667,-18.8955940791354
2.16888888888889,-18.7298437797872
2.17111111111111,-18.5658551643175
2.17333333333333,-18.403684700224
2.17555555555556,-18.2433776467326
2.17777777777778,-18.084969373218
2.18,-17.9284865432492
2.18222222222222,-17.7739481753093
2.18444444444444,-17.6213665909609
2.18666666666667,-17.4707482607638
2.18888888888889,-17.3220945576738
2.19111111111111,-17.1754024270026
2.19333333333333,-17.0306649813372
2.19555555555556,-16.8878720281365
2.19777777777778,-16.7470105370515
2.2,-16.6080650533712
2.20222222222222,-16.4710180633898
2.20444444444444,-16.3358503169242
2.20666666666667,-16.2025411116804
2.20888888888889,-16.0710685436897
2.21111111111111,-15.9414097275923
2.21333333333333,-15.8135409901434
2.21555555555556,-15.6874380399582
2.21777777777778,-15.5630761161826
2.22,-15.4404301184832
2.22222222222222,-15.3194747204876
2.22444444444444,-15.2001844685694
2.22666666666667,-15.0825338676606
2.22888888888889,-14.9664974555897
2.23111111111111,-14.8520498672704
2.23333333333333,-14.7391658899238
2.23555555555556,-14.6278205103772
2.23777777777778,-14.5179889553701
2.24,-14.4096467256903
2.24222222222222,-14.3027696248704
2.24444444444444,-14.1973337830939
2.24666666666667,-14.0933156768834
2.24888888888889,-13.9906921450819
2.25111111111111,-13.889440401579
2.25333333333333,-13.7895380451804
2.25555555555556,-13.6909630669777
2.25777777777778,-13.5936938555321
2.26,-13.4977092001504
2.26222222222222,-13.4029882924997
2.26444444444444,-13.3095107267814
2.26666666666667,-13.2172564986553
2.26888888888889,-13.1262060030871
2.27111111111111,-13.0363400312699
2.27333333333333,-12.9476397667545
2.27555555555556,-12.8600867809057
2.27777777777778,-12.7736630277909
2.28,-12.6883508385915
2.28222222222222,-12.6041329156202
2.28444444444444,-12.5209923260156
2.28666666666667,-12.4389124951756
2.28888888888889,-12.3578771999883
2.29111111111111,-12.277870561906
2.29333333333333,-12.1988770399071
2.29555555555556,-12.1208814233821
2.29777777777778,-12.0438688249775
2.3,-11.9678246734246
2.30222222222222,-11.892734706379
2.30444444444444,-11.8185849632919
2.30666666666667,-11.7453617783308
2.30888888888889,-11.6730517733671
2.31111111111111,-11.6016418510419
2.31333333333333,-11.5311191879239
2.31555555555556,-11.4614712277667
2.31777777777778,-11.392685674875
2.32,-11.3247504875864
2.32222222222222,-11.2576538718728
2.32444444444444,-11.1913842750674
2.32666666666667,-11.1259303797194
2.32888888888889,-11.0612810975794
2.33111111111111,-10.997425563717
2.33333333333333,-10.9343531307721
2.33555555555556,-10.8720533633396
2.33777777777778,-10.8105160324884
2.34,-10.7497311104133
2.34222222222222,-10.6896887652203
2.34444444444444,-10.6303793558429
2.34666666666667,-10.5717934270883
