"Frequency";"S11-Gain (dB)";"S11-Phase (°)"
"1.8e+09";"-16.24653219814077";"-101.58435309347445"
"1.803e+09";"-13.073245825759233";"-88.15544746935402"
"1.806e+09";"-12.647447017559726";"-141.33608240558092"
"1.809e+09";"-15.722464820060154";"-116.10587262676968"
"1.812e+09";"-15.618628231075338";"-137.72182896710927"
"1.815e+09";"-10.523176059659304";"-122.27534145046684"
"1.818e+09";"-10.918916310826695";"-137.25856785441192"
"1.821e+09";"-9.55731978472531";"-125.46305579837161"
"1.824e+09";"-9.956867656724063";"-135.97082534577453"
"1.827e+09";"-7.633429026741773";"-119.89948188330732"
"1.83e+09";"-9.068233377634597";"-140.66832881578614"
"1.833e+09";"-7.676343665776695";"-103.90038775752154"
"1.836e+09";"-7.375881264268451";"-126.45131029667178"
"1.839e+09";"-7.003922967581939";"-113.75589505973336"
"1.842e+09";"-6.203051362594415";"-116.6436562465555"
"1.845e+09";"-6.409971830443126";"-104.51413080657986"
"1.848e+09";"-5.197311044967332";"-110.8856698745372"
"1.851e+09";"-6.682765774086491";"-97.00678609891546"
"1.854e+09";"-10.655704824899217";"-106.52477727816299"
"1.857e+09";"-9.049607689892948";"-111.66153263838287"
"1.86e+09";"-6.598019186427981";"-107.84004530315526"
"1.863e+09";"-8.856775194452492";"-83.74377947326103"
"1.866e+09";"-7.1087308100027125";"-98.04213095183658"
"1.869e+09";"-9.067331164417007";"-79.67620083719713"
"1.872e+09";"-9.545815701127259";"-67.74715408048118"
"1.875e+09";"-14.17756505946915";"-75.08278582343753"
"1.878e+09";"-9.648532170179921";"-81.86787728180452"
"1.881e+09";"-16.87613201291736";"-124.23965835376384"
"1.884e+09";"-11.945651838490727";"-82.27691724027271"
"1.887e+09";"-17.014970634543804";"-129.24146373251833"
"1.89e+09";"-14.395064540299995";"-54.0264059212742"
"1.893e+09";"-15.925088923608708";"-154.09956391649354"
"1.896e+09";"-18.811503404655724";"-176.44504987019272"
"1.899e+09";"-16.293050725143317";"-146.26158808818272"
"1.902e+09";"-14.518322133808612";"-169.65083142055997"
"1.905e+09";"-13.083182987875867";"-128.19619010836718"
"1.908e+09";"-13.542450134358113";"-158.42741755416802"
"1.911e+09";"-10.596421844822112";"-160.8988185751707"
"1.914e+09";"-11.001957820261508";"-164.15388680310664"
"1.917e+09";"-9.274493650963386";"-150.20281520117965"
"1.92e+09";"-9.800567028424997";"-152.8663794512631"
"1.923e+09";"-7.359248072637019";"-144.4706462744231"
"1.926e+09";"-8.379925817761402";"-151.56590735485779"
"1.929e+09";"-10.567410627961426";"-145.16539094652586"
"1.932e+09";"-9.450389238366384";"-148.86464378073433"
"1.935e+09";"-8.19570730365214";"-137.30949770556484"
"1.938e+09";"-7.852864969996944";"-137.1523604605393"
"1.941e+09";"-11.424279132194211";"-143.19029494229096"
"1.944e+09";"-8.944975093620792";"-129.22053311713103"
"1.947e+09";"-5.580900792121005";"-113.22018793323959"
"1.95e+09";"-7.25555132402468";"-135.69022014359848"
"1.953e+09";"-7.363003379726728";"-108.37757739020968"
"1.956e+09";"-11.27069044583752";"-111.15602461765782"
"1.959e+09";"-8.970263129623389";"-100.78830358666494"
"1.962e+09";"-13.889152543350995";"-91.57443784142012"
"1.965e+09";"-13.92244461162943";"-107.76087185267274"
"1.968e+09";"-11.49617057219122";"-90.96158652593337"
"1.971e+09";"-16.58542835286696";"-42.554835136114285"
"1.974e+09";"-14.528641431922154";"-92.51547290595177"
"1.977e+09";"-14.880403577224328";"-107.95749607716363"
"1.98e+09";"-27.390518383932537";"-154.38560073497493"
"1.983e+09";"-17.534088938341977";"-138.43515580863402"
"1.986e+09";"-18.354125077005502";"-95.88965966983764"
"1.989e+09";"-18.35364461332764";"112.47692660559817"
"1.992e+09";"-24.576775680855803";"152.32633777870896"
"1.995e+09";"-17.727362405190785";"178.78422546998928"
"1.998e+09";"-14.1923029722016";"156.14613418519392"
"2.001e+09";"-11.85826867113459";"172.37336497201247"
"2.004e+09";"-13.573638740382616";"154.090883201845"
"2.007e+09";"-12.92542058573252";"-178.80479573226856"
"2.01e+09";"-12.531676852079759";"159.59625709634014"
"2.013e+09";"-12.555780827106345";"-151.85688845368486"
"2.016e+09";"-9.71212806733767";"167.72272608653333"
"2.019e+09";"-10.413465841802982";"178.67192335429166"
"2.022e+09";"-12.192235891288373";"-166.8534187324429"
"2.025e+09";"-12.7335793564231";"-153.74525971906252"
"2.028e+09";"-12.90684169368004";"-163.87795955224144"
"2.031e+09";"-9.864515031833248";"-163.2355490801962"
"2.034e+09";"-10.428480695486114";"-150.17681939658334"
"2.037e+09";"-10.175008103610653";"-163.07954257924965"
"2.04e+09";"-12.14620650360871";"-158.88637539997305"
"2.043e+09";"-9.503529685647528";"-131.5906688762082"
"2.046e+09";"-10.330215696731273";"-125.6884562661636"
"2.049e+09";"-9.009927695437485";"-144.49039841179157"
"2.052e+09";"-13.599648047478912";"-133.86344587436338"
