"Frequency";"S11-Gain (dB)";"S11-Phase (°)"
"2e+09";"-20.04078673120276";"-59.20725550270101"
"2013377926";"-20.510558940459703";"-73.57295756327453"
"2026755852";"-20.17957566203513";"-90.61910694462851"
"2040133779";"-19.668837770222";"-113.91129804491922"
"2053511705";"-20.149936569785613";"-126.21872602937167"
"2066889632";"-20.445828218187355";"-143.44548716788285"
"2080267558";"-20.711480438350964";"-169.3587251929634"
"2093645484";"-20.843468225255634";"161.13877665334698"
"2107023411";"-19.41100168118909";"149.00687301593996"
"2120401337";"-17.74458566040924";"125.51868197513775"
"2133779264";"-16.796220754128775";"115.73574774449762"
"2147157190";"-16.65977237192099";"102.24966182652567"
"2160535117";"-17.1323123216765";"84.38158544514674"
"2173913043";"-16.551679133279315";"66.58105130319942"
"2187290969";"-16.397718293354274";"50.43788859686742"
"2200668896";"-15.65500209120762";"37.07698123869428"
"2214046822";"-14.866674885785505";"24.586446529071246"
"2227424749";"-16.20992491844619";"18.318956774896876"
"2240802675";"-17.054894843058126";"9.452938775707759"
"2254180601";"-17.907882218889334";"-11.392564671620827"
"2267558528";"-18.05575874714034";"-20.97138851054015"
"2280936454";"-17.246700884197892";"-31.210818643041684"
"2294314381";"-17.64134682048978";"-37.62958079612704"
"2307692307";"-17.387047542300913";"-41.20905403112574"
"2321070234";"-17.795595944514154";"-58.015622777871485"
"2334448160";"-18.48508880978001";"-66.98088778633755"
"2347826086";"-21.53049110410736";"-82.94602110011759"
"2361204013";"-19.457457153867544";"-105.87310867668172"
"2374581939";"-18.458005758382562";"-116.92135839560086"
"2387959866";"-17.999546739124938";"-126.71458445419378"
"2401337792";"-13.284487127604432";"-104.22017751341009"
"2414715719";"-8.310013772756626";"-114.2304142672554"
"2428093645";"-9.714241796701051";"-120.77945700606782"
"2441471571";"-17.179747089060285";"75.75050744944359"
"2454849498";"-15.071865476076457";"-89.96520931913352"
"2468227424";"-12.975894187781275";"-5.461483236248496"
"2481605351";"-25.955404843415018";"94.85459935448554"
"2494983277";"-17.40346984501833";"93.28405275203286"
"2508361203";"-14.892659742044096";"172.82979518690658"
"2521739130";"-13.490458788139769";"173.28227174162498"
"2535117056";"-12.639918912825562";"172.1320686822857"
"2548494983";"-12.684908748183133";"172.0007564752578"
"2561872909";"-13.371437156831437";"172.38941463806802"
"2575250836";"-13.555360321803235";"170.21591207428503"
