"Freq [GHz]","dB(S(1,1)) []"
2,-17.6100938509546,-0.0897776350686092
2.00066666666667,-17.655464181681,-0.0898595040658379
2.00133333333333,-17.7010176319917,-0.0899417834272674
2.002,-17.7467540188259,-0.0900244706128672
2.00266666666667,-17.7926731149616,-0.0901075630949284
2.00333333333333,-17.8387746471185,-0.0901910583580741
2.004,-17.8850582939945,-0.0902749538993074
2.00466666666667,-17.9315236842305,-0.0903592472280246
2.00533333333333,-17.9781703943034,-0.0904439358660533
2.006,-18.0249979463447,-0.0905290173476807
2.00666666666667,-18.0720058058818,-0.0906144892196817
2.00733333333333,-18.1191933794995,-0.0907003490413432
2.008,-18.1665600124216,-0.0907865943845044
2.00866666666667,-18.2141049860064,-0.0908732228335739
2.00933333333333,-18.2618275151574,-0.0909602319855672
2.01,-18.3097267456443,-0.0910476194501375
2.01066666666667,-18.3578017513329,-0.0911353828495862
2.01133333333333,-18.4060515313208,-0.0912235198189282
2.012,-18.4544750069773,-0.0913120280058854
2.01266666666667,-18.5030710188838,-0.0914009050709366
2.01333333333333,-18.5518383236724,-0.0914901486873426
2.014,-18.6007755907616,-0.0915797565411693
2.01466666666667,-18.6498813989837,-0.0916697263313348
2.01533333333333,-18.6991542331045,-0.0917600557696156
2.016,-18.7485924802301,-0.0918507425806954
2.01666666666667,-18.7981944261001,-0.0919417845021828
2.01733333333333,-18.8479582512639,-0.0920331792846535
2.018,-18.8978820271377,-0.0921249246916692
2.01866666666667,-18.9479637119405,-0.0922170184998069
2.01933333333333,-18.9982011465051,-0.0923094584986981
2.02,-19.0485920499651,-0.0924022424910588
2.02066666666667,-19.0991340153114,-0.0924953682927058
2.02133333333333,-19.1498245048206,-0.0925888337326022
2.022,-19.2006608453507,-0.092682636652883
2.02266666666667,-19.2516402235027,-0.0927767749088779
2.02333333333333,-19.302759680648,-0.0928712463691535
2.024,-19.3540161078191,-0.0929660489155354
2.02466666666667,-19.4054062404621,-0.0930611804431382
2.02533333333333,-19.456926653052,-0.0931566388604086
2.026,-19.5085737535684,-0.0932524220891379
2.02666666666667,-19.5603437778322,-0.0933485280645057
2.02733333333333,-19.6122327837034,-0.0934449547350985
2.028,-19.6642366451403,-0.0935417000629616
2.02866666666667,-19.7163510461214,-0.0936387620236013
2.02933333333333,-19.7685714744301,-0.0937361386060443
2.03,-19.8208932153065,-0.0938338278128418
2.03066666666667,-19.8733113449653,-0.0939318276601189
2.03133333333333,-19.9258207239862,-0.0940301361776063
2.032,-19.9784159905781,-0.0941287514086594
2.03266666666667,-20.0310915537221,-0.0942276714102882
2.03333333333333,-20.0838415861982,-0.0943268942532121
2.034,-20.1366600175022,-0.0944264180218591
2.03466666666667,-20.1895405266585,-0.0945262408144205
2.03533333333333,-20.2424765349365,-0.0946263607428675
2.036,-20.2954611984804,-0.0947267759330002
2.03666666666667,-20.34848740086,-0.0948274845244555
2.03733333333333,-20.4015477455551,-0.0949284846707551
2.038,-20.4546345483845,-0.0950297745393378
2.03866666666667,-20.5077398298924,-0.0951313523115773
2.03933333333333,-20.5608553077077,-0.0952332161828329
