"Freq [GHz]","dB(S(1,1)) []"
1,-1.3373677116568
1.01111111111111,-1.39971052096425
1.02222222222222,-1.46325239015394
1.03333333333333,-1.52795002564827
1.04444444444444,-1.59375955518977
1.05555555555556,-1.6606370392276
1.06666666666667,-1.72853898318415
1.07777777777778,-1.79742284320391
1.08888888888889,-1.86724751837851
1.1,-1.93797382300781
1.11111111111111,-2.00956493316974
1.12222222222222,-2.08198680270269
1.13333333333333,-2.15520854462027
1.14444444444444,-2.2292027749457
1.15555555555556,-2.30394591693906
1.16666666666667,-2.37941846466365
1.17777777777778,-2.45560520576942
1.18888888888889,-2.53249540423898
1.2,-2.61008294462527
1.21111111111111,-2.68836643999474
1.22222222222222,-2.76734930636918
1.23333333333333,-2.8470398069256
1.24444444444444,-2.92745106957056
1.25555555555556,-3.00860108175416
1.26666666666667,-3.09051266653887
1.27777777777778,-3.17321344399792
1.28888888888889,-3.25673578199938
1.3,-3.341116740347
1.31111111111111,-3.42639801211124
1.32222222222222,-3.51262586580592
1.33333333333333,-3.59985109186016
1.34444444444444,-3.6881289566135
1.35555555555556,-3.77751916683518
1.36666666666667,-3.86808584754463
1.37777777777778,-3.95989753569982
1.38888888888889,-4.05302719212742
1.4,-4.14755223390215
1.41111111111111,-4.24355458924518
1.42222222222222,-4.34112077690841
1.43333333333333,-4.44034201194456
1.44444444444444,-4.54131433973688
1.45555555555556,-4.64413880017709
1.46666666666667,-4.74892162394044
1.47777777777778,-4.85577446291237
1.48888888888889,-4.96481465697667
1.5,-5.07616553958203
1.51111111111111,-5.18995678476585
1.52222222222222,-5.30632479863668
1.53333333333333,-5.42541315870336
1.54444444444444,-5.54737310489828
1.55555555555556,-5.67236408668107
1.56666666666667,-5.80055437123882
1.57777777777778,-5.93212171853083
1.58888888888889,-6.06725412977652
1.6,-6.20615067697133
1.61111111111111,-6.34902242216052
1.62222222222222,-6.49609343653042
1.63333333333333,-6.64760193092406
1.64444444444444,-6.80380151118991
1.65555555555556,-6.96496257387673
1.66666666666667,-7.13137386024716
1.67777777777778,-7.30334418946507
1.68888888888889,-7.48120439519307
1.7,-7.66530949381067
1.71111111111111,-7.85604111713793
1.72222222222222,-8.05381024805101
1.73333333333333,-8.25906030385074
1.74444444444444,-8.47227061985683
1.75555555555556,-8.69396039462922
1.76666666666667,-8.92469316864894
1.77777777777778,-9.16508192039955
1.78888888888889,-9.41579487770166
1.8,-9.67756215788478
1.81111111111111,-9.95118336772135
1.82222222222222,-10.237536312365
1.83333333333333,-10.537586980422
1.84444444444444,-10.8524009869727
1.85555555555556,-11.1831566626608
1.86666666666667,-11.5311599655057
1.87777777777778,-11.8978613461006
1.88888888888889,-12.2848745866836
1.9,-12.6939974077564
1.91111111111111,-13.1272331996127
